days,trips,iter,last_trip_to home,equal_state_and_destination leisure,min_or_max_state_duration escort,equal_state_and_destination home,min_or_max_state_duration home,min_or_max_state_duration leisure
4,4,20,0.2,0.0,0.1,0.5,0.1,0.1
4,4,30,0.4,0.2,0.0,0.1,0.3,0.0
