days,trips,iter,equal_state_and_destination home,last_trip_to home,min_or_max_state_duration errands,min_or_max_state_duration home,min_or_max_state_duration shopping
2,4,20,0.0,0.7,0.1,0.1,0.1
2,4,30,0.1,0.8,0.0,0.0,0.1
