# file...... eplus_load.csv
# date...... Wed May 24 15:08:54 2023
# user...... root
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 01:21:00 PDT,+48766.915204,+15,+394.671+223.567j
2013-07-01 01:22:00 PDT,+48766.915204,+15,+394.673+223.568j
2013-07-01 01:23:00 PDT,+48766.915204,+15,+394.673+223.568j
2013-07-01 01:24:00 PDT,+48766.915204,+15,+394.673+223.568j
2013-07-01 01:25:00 PDT,+48766.915204,+15,+394.707+223.588j
2013-07-01 01:26:00 PDT,+48764.8402337,+15,+394.866+223.682j
2013-07-01 01:27:00 PDT,+48764.8402337,+15,+394.866+223.682j
2013-07-01 01:28:00 PDT,+48764.8402337,+15,+394.866+223.682j
2013-07-01 01:29:00 PDT,+48764.8402337,+15,+394.866+223.682j
2013-07-01 01:30:00 PDT,+48764.8402337,+15,+394.847+223.671j
2013-07-01 01:31:00 PDT,+48762.76321,+15,+394.711+223.591j
2013-07-01 01:32:00 PDT,+48762.76321,+15,+394.711+223.591j
2013-07-01 01:33:00 PDT,+48762.76321,+15,+394.711+223.591j
2013-07-01 01:34:00 PDT,+48762.76321,+15,+394.711+223.591j
2013-07-01 01:35:00 PDT,+48762.76321,+15,+394.798+223.641j
2013-07-01 01:36:00 PDT,+48760.6839806,+15,+394.934+223.722j
2013-07-01 01:37:00 PDT,+48760.6839806,+15,+394.936+223.723j
2013-07-01 01:38:00 PDT,+48760.6839806,+15,+394.936+223.723j
2013-07-01 01:39:00 PDT,+48760.6839806,+15,+394.936+223.723j
2013-07-01 01:40:00 PDT,+48760.6839806,+15,+394.93+223.719j
2013-07-01 01:41:00 PDT,+48758.6024428,+15,+394.932+223.721j
2013-07-01 01:42:00 PDT,+48758.6024428,+15,+394.932+223.721j
2013-07-01 01:43:00 PDT,+48758.6024428,+15,+394.933+223.721j
2013-07-01 01:44:00 PDT,+48758.6024428,+15,+394.933+223.721j
2013-07-01 01:45:00 PDT,+48758.6024428,+15,+394.865+223.681j
2013-07-01 01:46:00 PDT,+48756.5185235,+15,+394.713+223.592j
2013-07-01 01:47:00 PDT,+48756.5185235,+15,+394.713+223.592j
2013-07-01 01:48:00 PDT,+48756.5185235,+15,+394.714+223.593j
2013-07-01 01:49:00 PDT,+48756.5185235,+15,+394.716+223.594j
2013-07-01 01:50:00 PDT,+48756.5185235,+15,+394.747+223.613j
2013-07-01 01:51:00 PDT,+48754.4322015,+15,+394.902+223.704j
2013-07-01 01:52:00 PDT,+48754.4322015,+15,+394.902+223.704j
2013-07-01 01:53:00 PDT,+48754.4322015,+15,+394.902+223.704j
2013-07-01 01:54:00 PDT,+48754.4322014,+14.999999682,+394.902+223.704j
2013-07-01 01:55:00 PDT,+48754.4322015,+15,+394.96+223.738j
2013-07-01 01:56:00 PDT,+48752.343454,+15,+394.96+223.738j
2013-07-01 01:57:00 PDT,+48752.343454,+15,+394.961+223.739j
2013-07-01 01:58:00 PDT,+48752.343454,+15,+394.961+223.739j
2013-07-01 01:59:00 PDT,+48752.343454,+15,+394.961+223.739j
2013-07-01 02:00:00 PDT,+48752.343454,+15,+394.972+223.745j
2013-07-01 02:01:00 PDT,+48750.2523414,+15,+405.324+229.844j
2013-07-01 02:02:00 PDT,+48750.2523414,+15,+405.324+229.844j
2013-07-01 02:03:00 PDT,+48750.2523414,+15,+405.324+229.844j
2013-07-01 02:04:00 PDT,+48750.2523414,+15,+405.324+229.844j
2013-07-01 02:05:00 PDT,+48750.2523414,+15,+405.653+230.037j
2013-07-01 02:06:00 PDT,+48748.1588713,+14.9999998281,+405.693+230.06j
2013-07-01 02:07:00 PDT,+48748.1588709,+15,+405.693+230.061j
2013-07-01 02:08:00 PDT,+48748.1588709,+15,+406.053+230.273j
2013-07-01 02:09:00 PDT,+48748.1588709,+15,+406.053+230.273j
2013-07-01 02:10:00 PDT,+48748.1588709,+15,+407.467+231.104j
2013-07-01 02:11:00 PDT,+48746.1823239,+15,+407.356+231.038j
2013-07-01 02:12:00 PDT,+48746.1823239,+15,+407.356+231.038j
2013-07-01 02:13:00 PDT,+48746.1823239,+15,+407.356+231.038j
2013-07-01 02:14:00 PDT,+48746.1823239,+15,+407.356+231.038j
2013-07-01 02:15:00 PDT,+48746.1823239,+15,+407.287+230.998j
2013-07-01 02:16:00 PDT,+48744.2051451,+15,+406.998+230.828j
2013-07-01 02:17:00 PDT,+48744.2051451,+15,+406.998+230.828j
2013-07-01 02:18:00 PDT,+48744.2051451,+15,+406.998+230.828j
2013-07-01 02:19:00 PDT,+48744.2051451,+15,+406.998+230.828j
2013-07-01 02:20:00 PDT,+48744.2051451,+15,+406.884+230.761j
2013-07-01 02:21:00 PDT,+48742.2269446,+15,+407.196+230.945j
2013-07-01 02:22:00 PDT,+48742.2269446,+15,+407.196+230.945j
2013-07-01 02:23:00 PDT,+48742.2269446,+15,+407.196+230.945j
2013-07-01 02:24:00 PDT,+48742.2269446,+15,+407.196+230.945j
2013-07-01 02:25:00 PDT,+48742.2269446,+15,+407.492+231.119j
2013-07-01 02:26:00 PDT,+48740.2474381,+15,+407.457+231.099j
2013-07-01 02:27:00 PDT,+48740.2474381,+15,+407.457+231.099j
2013-07-01 02:28:00 PDT,+48740.2474381,+15,+407.457+231.099j
2013-07-01 02:29:00 PDT,+48740.2474381,+15,+407.457+231.099j
2013-07-01 02:30:00 PDT,+48740.2474381,+15,+407.408+231.07j
2013-07-01 02:31:00 PDT,+48738.2667319,+15,+407.528+231.14j
2013-07-01 02:32:00 PDT,+48738.2667319,+15,+407.528+231.14j
2013-07-01 02:33:00 PDT,+48738.2667319,+15,+407.528+231.14j
2013-07-01 02:34:00 PDT,+48738.2667319,+15,+407.528+231.14j
2013-07-01 02:35:00 PDT,+48738.2667319,+15,+407.638+231.205j
2013-07-01 02:36:00 PDT,+48736.2847609,+15,+407.377+231.052j
2013-07-01 02:37:00 PDT,+48736.2847609,+15,+407.377+231.052j
2013-07-01 02:38:00 PDT,+48736.2847609,+15,+407.377+231.052j
2013-07-01 02:39:00 PDT,+48736.2847609,+15,+407.377+231.052j
2013-07-01 02:40:00 PDT,+48736.2847609,+15,+407.174+230.932j
2013-07-01 02:41:00 PDT,+48734.2933166,+15,+407.245+230.974j
2013-07-01 02:42:00 PDT,+48734.2933166,+15,+407.245+230.974j
2013-07-01 02:43:00 PDT,+48734.2933166,+15,+407.245+230.974j
2013-07-01 02:44:00 PDT,+48734.2933166,+15,+407.245+230.974j
2013-07-01 02:45:00 PDT,+48734.2933166,+15,+407.303+231.008j
2013-07-01 02:46:00 PDT,+48732.3056374,+15,+407.284+230.998j
2013-07-01 02:47:00 PDT,+48732.3056374,+15,+407.284+230.998j
2013-07-01 02:48:00 PDT,+48732.3056374,+15,+407.284+230.998j
2013-07-01 02:49:00 PDT,+48732.3056374,+15,+407.284+230.998j
2013-07-01 02:50:00 PDT,+48732.3056374,+15,+407.315+231.016j
2013-07-01 02:51:00 PDT,+48730.3189173,+15,+407.461+231.102j
2013-07-01 02:52:00 PDT,+48730.3189173,+15,+407.461+231.102j
2013-07-01 02:53:00 PDT,+48730.3189173,+15,+407.461+231.102j
2013-07-01 02:54:00 PDT,+48730.3189173,+15.0000000008,+407.461+231.102j
2013-07-01 02:55:00 PDT,+48730.3189173,+15,+407.555+231.157j
2013-07-01 02:56:00 PDT,+48728.3308679,+15,+407.495+231.122j
2013-07-01 02:57:00 PDT,+48728.3308679,+15,+407.495+231.122j
2013-07-01 02:58:00 PDT,+48728.3308679,+15,+407.495+231.122j
2013-07-01 02:59:00 PDT,+48728.3308679,+15,+407.495+231.122j
2013-07-01 03:00:00 PDT,+48728.3308679,+15,+407.441+231.09j
2013-07-01 03:01:00 PDT,+48726.3416141,+15,+407.545+231.151j
2013-07-01 03:02:00 PDT,+48726.3416141,+15,+407.545+231.151j
2013-07-01 03:03:00 PDT,+48726.3416141,+15,+407.545+231.151j
2013-07-01 03:04:00 PDT,+48726.3416141,+15,+407.545+231.151j
2013-07-01 03:05:00 PDT,+48726.3416141,+15,+407.589+231.177j
2013-07-01 03:06:00 PDT,+48724.3510044,+15.0000065039,+407.627+231.2j
2013-07-01 03:07:00 PDT,+48724.3510014,+15,+407.628+231.2j
2013-07-01 03:08:00 PDT,+48724.3510014,+15,+407.628+231.2j
2013-07-01 03:09:00 PDT,+48724.3510014,+15,+407.628+231.2j
2013-07-01 03:10:00 PDT,+48724.3510014,+15,+407.694+231.239j
2013-07-01 03:11:00 PDT,+49016.251652,+15,+407.527+231.116j
2013-07-01 03:12:00 PDT,+49016.251652,+15,+407.527+231.116j
2013-07-01 03:13:00 PDT,+49016.251652,+15,+407.527+231.116j
2013-07-01 03:14:00 PDT,+49016.251652,+15,+407.528+231.116j
2013-07-01 03:15:00 PDT,+49016.251652,+15,+407.376+231.027j
2013-07-01 03:16:00 PDT,+49013.6375674,+15,+407.367+231.022j
2013-07-01 03:17:00 PDT,+49013.6375674,+15,+407.367+231.022j
2013-07-01 03:18:00 PDT,+49013.6375674,+15,+407.367+231.022j
2013-07-01 03:19:00 PDT,+49013.6375674,+15,+407.367+231.022j
2013-07-01 03:20:00 PDT,+49013.6375674,+15,+407.396+231.04j
2013-07-01 03:21:00 PDT,+49011.0207923,+15,+407.393+231.038j
2013-07-01 03:22:00 PDT,+49011.0207923,+15,+407.393+231.038j
2013-07-01 03:23:00 PDT,+49011.0207923,+15,+407.393+231.038j
2013-07-01 03:24:00 PDT,+49011.0207923,+15,+407.393+231.038j
2013-07-01 03:25:00 PDT,+49011.0207923,+15,+407.343+231.009j
2013-07-01 03:26:00 PDT,+49008.3978111,+15,+407.485+231.092j
