days,trips,iter,last_trip_to home,equal_state_and_destination home,equal_state_and_destination errands,equal_state_and_destination shopping,min_or_max_state_duration home,overall_min_or_max_time_at home,min_or_max_state_duration shopping,equal_state_and_destination leisure,min_or_max_state_duration leisure
0,5,20,0.2,0.4,0.0,0.0,0.3,0.0,0.1,0.0,
0,5,30,0.4,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.1
