days,trips,iter,last_trip_to home,min_or_max_state_duration shopping,equal_state_and_destination home,min_or_max_state_duration home,min_or_max_state_duration errands,equal_state_and_destination leisure,min_or_max_state_duration escort,equal_state_and_destination shopping,min_or_max_state_duration leisure
1,5,20,0.5,0.0,0.1,0.1,0.1,0.1,0.1,,
1,5,30,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.1,
1,5,40,0.5,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.2
1,5,50,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
