days,trips,iter,min_or_max_state_duration home,equal_state_and_destination shopping,last_trip_to home,min_or_max_state_duration leisure,min_or_max_state_duration errands,equal_state_and_destination home,min_or_max_state_duration escort
2,5,20,0.1,0.0,0.7,0.2,,,
2,5,30,0.0,0.0,0.3,0.0,0.2,0.4,0.1
