days,trips,iter,min_or_max_state_duration home,last_trip_to home,equal_state_and_destination home,overall_min_or_max_time_at home,min_or_max_state_duration shopping
2,4,20,0.1,0.4,0.3,0.1,0.1
2,4,30,0.0,0.7,0.3,0.0,0.0
