days,trips,iter,min_or_max_state_duration errands,min_or_max_state_duration shopping,min_or_max_state_duration home,last_trip_to home,equal_state_and_destination home,min_or_max_state_duration leisure,equal_state_and_destination shopping
2,5,20,0.0,0.0,0.1,0.6,0.3,0.0,
2,5,30,0.0,0.1,0.0,0.4,0.4,0.0,0.1
