days,trips,iter,last_trip_to home,min_or_max_state_duration shopping,min_or_max_state_duration leisure,equal_state_and_destination home,equal_state_and_destination shopping,min_or_max_state_duration errands,min_or_max_state_duration home,min_or_max_state_duration escort,overall_min_or_max_time_at home,equal_state_and_destination leisure
0,5,20,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
0,5,30,0.5,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
