days,trips,iter,equal_state_and_destination home,last_trip_to home,equal_state_and_destination errands,min_or_max_state_duration home,min_or_max_state_duration leisure,min_or_max_state_duration escort,min_or_max_state_duration errands
4,4,20,0.2,0.8,0.0,0.0,0.0,,
4,4,30,0.4,0.5,0.0,0.0,0.0,0.1,
4,4,40,0.3,0.5,0.0,0.1,0.0,0.0,0.1
