days,trips,iter,equal_state_and_destination home,min_or_max_state_duration leisure,last_trip_to home,equal_state_and_destination leisure,min_or_max_state_duration home,min_or_max_state_duration shopping,equal_state_and_destination shopping
0,5,20,0.3,0.0,0.4,0.0,0.1,0.1,0.1
0,5,30,0.0,0.1,0.7,0.0,0.1,0.1,0.0
