days,trips,iter,equal_state_and_destination home,overall_min_or_max_time_at home,equal_state_and_destination leisure,last_trip_to home,min_or_max_state_duration shopping,min_or_max_state_duration home,equal_state_and_destination errands,min_or_max_state_duration errands
1,5,20,0.1,0.1,0.0,0.4,0.2,0.1,0.1,
1,5,30,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.1
