days,trips,iter,min_or_max_state_duration leisure,equal_state_and_destination home,last_trip_to home,min_or_max_state_duration home,equal_state_and_destination errands,equal_state_and_destination leisure
4,5,20,0.0,0.3,0.6,0.0,0.1,
4,5,30,0.1,0.3,0.4,0.1,0.0,0.1
