days,trips,iter,equal_state_and_destination home,min_or_max_state_duration leisure,last_trip_to home,equal_state_and_destination errands,min_or_max_state_duration shopping,min_or_max_state_duration home,min_or_max_state_duration errands
3,5,20,0.1,0.1,0.6,0.1,0.0,0.0,0.1
3,5,30,0.3,0.0,0.4,0.0,0.2,0.1,0.0
