days,trips,iter,last_trip_to home,min_or_max_state_duration shopping,equal_state_and_destination errands,min_or_max_state_duration leisure,equal_state_and_destination shopping,min_or_max_state_duration home,equal_state_and_destination home,equal_state_and_destination leisure
1,5,20,0.6,0.0,0.0,0.1,0.0,0.2,0.1,
1,5,30,0.3,0.0,0.0,0.2,0.0,0.0,0.4,0.1
